ticker,1Y,3Y,5Y
ALVO,-0.9584680035966876,-0.16756591615557642,-0.3014069651298074
AMRQ,0.048461446531113894,0.40174898869904674,0.40174898869904674
ARION,0.8515064390101271,-0.378979635679645,0.6242762735140669
BRIM,-1.944945579480148,-1.350616008131898,0.07075612766310797
EIK,0.957636449852254,-0.4918165989112539,0.3123305269408731
EIM,-0.5184904623256772,-0.9410368685246949,0.47157281063870526
FESTI,1.4087641783719411,0.1165336373648211,0.5233324577572795
HAGA,0.6266585806063353,0.21915475012684169,0.45534333659020976
HAMP,-0.2327664659298755,-0.20904113470468125,0.32302596206876705
HEIMAR,1.4196012921689736,-0.29256507225046074,0.46336239250870187
ICEAIR,0.25395519159987645,-0.8470070974424835,-0.38428964723412945
ICESEA,-0.22339470027709799,-1.0671204270344525,-0.5885653910199905
ISB,0.5399930268686539,-0.4053482532030319,0.006946249215929381
ISF,-1.9329243683882884,-1.661769810564028,-1.661769810564028
JBTM,-0.3305959803982049,-0.3305959803982049,-0.3305959803982049
KALD,1.5246992951247145,0.12441691320405773,0.619459528315887
KVIKA,0.22034875859417738,-0.47487592870151546,0.20873032661643534
NOVA,1.0431077542737788,-0.32453082889494206,-0.36006746929371464
OCS,0.48708376396748343,0.30210834411684323,0.30210834411684323
OLGERD,-0.15538152633676153,0.5208711921623905,0.5467311012970383
OMXI15,0.35406692916502286,-0.6166122815273666,-0.02458818138126919
PLAY,-1.7877489598021155,-1.9725129317271257,-1.707972004102744
REITIR,0.8226640880736048,-0.15712702195483302,0.3981224438467022
SIMINN,1.2323149737847938,0.02282829335425834,0.4044147579007769
SJOVA,0.48953393405675866,-0.06328655227705607,0.5055237603291985
SKAGI,0.7024906703895958,-0.3769037584984907,0.31231289542590934
SKEL,0.05218886558623025,-0.3722720430537891,0.3005963508120244
SVN,-1.9034430186848164,-1.1769333551496157,-0.16042062534066537
SYN,-0.8908395125935769,-1.393483421532022,-0.14328359737198065
