ticker,composite_rank,1Y,3Y,5Y,obs,cum_return
KALD,0.9425287356321839,1.5246992951247145,0.12441691320405773,0.619459528315887,1488,1.4158415841584184
FESTI,0.8850574712643677,1.4087641783719411,0.1165336373648211,0.5233324577572795,2491,6.068557919621728
SIMINN,0.8045977011494253,1.2323149737847938,0.02282829335425834,0.4044147579007769,2453,2.724928366762183
HEIMAR,0.7931034482758621,1.4196012921689736,-0.29256507225046074,0.46336239250870187,2491,1.3113605913019226
HAGA,0.7816091954022989,0.6266585806063353,0.21915475012684169,0.45534333659020976,2491,1.7284427284427224
OLGERD,0.7701149425287356,-0.15538152633676153,0.5208711921623905,0.5467311012970383,798,0.8218218218218198
ARION,0.7471264367816092,0.8515064390101271,-0.378979635679645,0.6242762735140669,1788,0.9819819819819875
SJOVA,0.7471264367816092,0.48953393405675866,-0.06328655227705607,0.5055237603291985,2491,2.604938271604932
REITIR,0.7126436781609197,0.8226640880736048,-0.15712702195483302,0.3981224438467022,2491,0.5487984140304205
AMRQ,0.6896551724137931,0.048461446531113894,0.40174898869904674,0.40174898869904674,697,0.7755905511811036
OCS,0.6781609195402298,0.48708376396748343,0.30210834411684323,0.30210834411684323,327,0.28402366863905204
EIK,0.5862068965517242,0.957636449852254,-0.4918165989112539,0.3123305269408731,2491,0.9285714285714313
SKAGI,0.5862068965517241,0.7024906703895958,-0.3769037584984907,0.31231289542590934,2491,1.226107226107224
NOVA,0.5402298850574713,1.0431077542737788,-0.32453082889494206,-0.36006746929371464,791,0.05399568034557101
HAMP,0.5287356321839081,-0.2327664659298755,-0.20904113470468125,0.32302596206876705,2491,3.629629629629621
SKEL,0.4827586206896552,0.05218886558623025,-0.3722720430537891,0.3005963508120244,2164,1.3913043478260785
ISB,0.4827586206896551,0.5399930268686539,-0.4053482532030319,0.006946249215929381,1041,0.31078224101479757
EIM,0.43678160919540227,-0.5184904623256772,-0.9410368685246949,0.47157281063870526,2491,0.5367965367965353
KVIKA,0.43678160919540227,0.22034875859417738,-0.47487592870151546,0.20873032661643534,1846,1.2658227848101329
OMXI15,0.40229885057471265,0.35406692916502286,-0.6166122815273666,-0.02458818138126919,2473,0.6773601847101058
ALVO,0.367816091954023,-0.9584680035966876,-0.16756591615557642,-0.3014069651298074,788,-0.23048048048048164
JBTM,0.3448275862068966,-0.3305959803982049,-0.3305959803982049,-0.3305959803982049,155,-0.050000000000000155
ICEAIR,0.3103448275862069,0.25395519159987645,-0.8470070974424835,-0.38428964723412945,2491,-0.962062615101289
ICESEA,0.21839080459770113,-0.22339470027709799,-1.0671204270344525,-0.5885653910199905,2304,-0.06422018348623759
SYN,0.20689655172413793,-0.8908395125935769,-1.393483421532022,-0.14328359737198065,2491,-0.3853541416566627
BRIM,0.19540229885057472,-1.944945579480148,-1.350616008131898,0.07075612766310797,2491,0.5394566623544559
SVN,0.1839080459770115,-1.9034430186848164,-1.1769333551496157,-0.16042062534066537,1058,0.14263803680981257
PLAY,0.06896551724137932,-1.7877489598021155,-1.9725129317271257,-1.707972004102744,1028,-0.9800000000000001
ISF,0.06896551724137931,-1.9329243683882884,-1.661769810564028,-1.661769810564028,418,-0.273947528981086
