date,ticker,name,sector,ret,vol,sharpe,var,es
2023-07-06,ARION,ARION,Iceland,0.13244892282178258,0.26170077724303764,0.3884024623609252,-0.02399875164545782,-0.037793695639838455
2023-07-07,ARION,ARION,Iceland,0.13965535339028212,0.2619450645590061,0.4154220977160477,-0.02399875164545782,-0.037793695639838455
2023-07-10,ARION,ARION,Iceland,0.1429695167126775,0.2617485103170675,0.42826621150996624,-0.02399875164545782,-0.037793695639838455
2023-07-11,ARION,ARION,Iceland,0.1425483979194657,0.2617596271801571,0.4265097587636072,-0.02399875164545782,-0.037793695639838455
2023-07-12,ARION,ARION,Iceland,0.14095420884196552,0.2617814084659205,0.4202550454742739,-0.02399875164545782,-0.037793695639838455
2023-07-13,ARION,ARION,Iceland,0.1393509735995621,0.2618034184676816,0.4139664579824605,-0.02399875164545782,-0.037793695639838455
2023-07-14,ARION,ARION,Iceland,0.1395744283057754,0.2618050249554302,0.4146879912234934,-0.02399875164545782,-0.037793695639838455
2023-07-17,ARION,ARION,Iceland,0.14610683460322607,0.2612108861892187,0.44050965570817147,-0.023963579950034487,-0.03754427493342592
2023-07-18,ARION,ARION,Iceland,0.1415080259870577,0.26058839137641426,0.42378377627341735,-0.023963579950034487,-0.03754427493342592
2023-07-19,ARION,ARION,Iceland,0.1429312411096948,0.2605297046122519,0.4292115997437466,-0.023963579950034487,-0.03754427493342592
2023-07-20,ARION,ARION,Iceland,0.14701287376275604,0.26067752691377216,0.44449565310254313,-0.023963579950034487,-0.03754427493342592
2023-07-21,ARION,ARION,Iceland,0.14971627352828942,0.2607034942381849,0.45469068725318706,-0.023963579950034487,-0.03754427493342592
2023-07-24,ARION,ARION,Iceland,0.14604320033861753,0.26067678916877096,0.4405164025734972,-0.023963579950034487,-0.03754427493342592
2023-07-25,ARION,ARION,Iceland,0.14444851595323543,0.26067697987403865,0.434268268308913,-0.023963579950034487,-0.03754427493342592
2023-07-26,ARION,ARION,Iceland,0.14137907150879098,0.26067315067403996,0.42236923723444175,-0.023963579950034487,-0.03754427493342592
2023-07-27,ARION,ARION,Iceland,0.14260660869492772,0.26068671786446274,0.42692578102861123,-0.023963579950034487,-0.03754427493342592
2023-07-28,ARION,ARION,Iceland,0.13973199095792466,0.260800125899085,0.4155875544218418,-0.023963579950034487,-0.03754427493342592
2023-07-31,ARION,ARION,Iceland,0.14108792316131447,0.26081389640024044,0.42063419111144845,-0.023963579950034487,-0.03754427493342592
2023-08-01,ARION,ARION,Iceland,0.1368501430614654,0.2610925836274917,0.4038241316641928,-0.02399875164545782,-0.03759641032386847
2023-08-02,ARION,ARION,Iceland,0.13847024026729773,0.2610428799406636,0.4099771145711105,-0.02399875164545782,-0.03759641032386847
2023-08-03,ARION,ARION,Iceland,0.14665737477022173,0.2603808999457989,0.4423318486438376,-0.023963579950034487,-0.037324754874698954
2023-08-04,ARION,ARION,Iceland,0.1416760062065361,0.2601875250896602,0.42338471011308554,-0.023963579950034487,-0.037324754874698954
