date,ticker,name,sector,ret,vol,sharpe,var,es
2025-08-21,ARION,ARION,Iceland,0.21932079954625933,0.2232219918529931,0.7508603037864974,-0.019773279232069542,-0.029189502286586337
2025-08-21,BRIM,BRIM,Iceland,0.09154817399474036,0.21085433413027785,0.18892619507851127,-0.018289475038419933,-0.025363163595864525
2025-08-21,EIK,EIK,Iceland,0.16447403473493621,0.2512323842480724,0.4488345248194551,-0.024405997537920453,-0.0326273874131814
2025-08-21,EIM,EIM,Iceland,0.2249702198626824,0.28021984528760024,0.6182929433608362,-0.025031845929586388,-0.03508251539918986
2025-08-21,FESTI,FESTI,Iceland,0.1778665348564891,0.1978981683535061,0.6374706192300147,-0.0187080197002961,-0.02597425129165119
2025-08-21,HAGA,HAGA,Iceland,0.18066326915290898,0.22245403398468203,0.5796748205073888,-0.021691450296254234,-0.028320041554395166
2025-08-21,HAMP,HAMP,Iceland,0.18750289231797193,0.2874228862607965,0.4724419379153644,-0.022943157374953317,-0.040866359627078644
2025-08-21,HEIMAR,HEIMAR,Iceland,0.17665155651760234,0.21447036612965037,0.5825480314160554,-0.01956606878034297,-0.02675172351069001
2025-08-21,ICEAIR,ICEAIR,Iceland,-0.017600145393648445,0.446394920070105,-0.15527150782642649,-0.037402329672071306,-0.060524225135594426
2025-08-21,ICESEA,ICESEA,Iceland,-0.06653964641636866,0.26757573677108476,-0.4419381023669904,-0.025703660492039575,-0.03965923750705908
2025-08-21,KALD,KALD,Iceland,0.20651021538876851,0.21061919636595927,0.7349660008582837,-0.02025527456571341,-0.02891370614355409
2025-08-21,KVIKA,KVIKA,Iceland,0.15215735626081597,0.27435240293516155,0.3661170387228595,-0.02331611008494385,-0.03487279679689336
2025-08-21,OMXI15,OMXI15,Iceland,0.06590771508566462,0.1806384783179609,0.08312706561618388,-0.017539960161730213,-0.025183980808497257
2025-08-21,REITIR,REITIR,Iceland,0.18334049319391021,0.247772385104559,0.531246556014181,-0.0239452429848143,-0.030519695945600153
2025-08-21,SIMINN,SIMINN,Iceland,0.16988654805215891,0.2229323260970907,0.5300903784989809,-0.019935777529669463,-0.02925896670821825
2025-08-21,SJOVA,SJOVA,Iceland,0.17501180166270663,0.19842634670880188,0.6213869114465906,-0.01804626569405581,-0.028607741563155178
2025-08-21,SKAGI,SKAGI,Iceland,0.15612858744648542,0.23546978001790936,0.44343830663471906,-0.022524944270847756,-0.031804239635897624
2025-08-21,SKEL,SKEL,Iceland,0.17565127211532802,0.27634029282142586,0.44850138905991854,-0.028460688488054987,-0.038034523381683984
2025-08-21,SYN,SYN,Iceland,0.05542942436693202,0.2915668700257154,0.012748901941123436,-0.025391848644805724,-0.04039563245660138
