date,ticker,name,sector,ret,vol,sharpe,var,es
2025-08-20,ALVO,ALVO,Iceland,0.12799335163458717,0.5362318348628646,0.09770998467184878,-0.04197744916849874,-0.07263596188705254
2025-08-21,ARION,ARION,Iceland,0.01745632441199015,0.21482633036156573,-0.27080835599448333,-0.019806116965025128,-0.028910283901300203
2025-08-21,BRIM,BRIM,Iceland,-0.14117623830609363,0.17216874509537713,-1.2592838958518302,-0.017556923684575843,-0.024667408293337075
2025-08-21,EIK,EIK,Iceland,-0.015332614021058233,0.2480975246324353,-0.3666530083980502,-0.024836703681713146,-0.03432817624442558
2025-08-21,EIM,EIM,Iceland,-0.1312012178446232,0.25500861275675646,-0.8110875368882093,-0.02587861115330109,-0.035701871217785924
2025-08-21,FESTI,FESTI,Iceland,0.11937830182729803,0.20084011439576424,0.21781112900365435,-0.01872654317773706,-0.026378854014077083
2025-08-21,HAGA,HAGA,Iceland,0.1534663190931691,0.23222127950298144,0.33516837689560786,-0.02122832880222747,-0.028481331494957515
2025-08-21,HAMP,HAMP,Iceland,0.056201821893200776,0.27454088139168964,-0.07077732019301712,-0.02396772089154031,-0.03737332181067069
2025-08-21,HEIMAR,HEIMAR,Iceland,0.03787974785386065,0.19567727334673968,-0.19293677421993738,-0.01808429564491751,-0.025011478783347307
2025-08-21,ICEAIR,ICEAIR,Iceland,-0.15678482373116237,0.34436445279124256,-0.6749184232252629,-0.033757204901525645,-0.04438974204547779
2025-08-21,ICESEA,ICESEA,Iceland,-0.16942355280449384,0.26234539323154915,-0.9340992786167871,-0.02537866095505875,-0.04079266338779055
2025-08-21,ISB,ISB,Iceland,0.00915717823835564,0.2306214210063363,-0.2882469079979846,-0.022616964755086066,-0.030394700208248013
2025-08-21,KALD,KALD,Iceland,0.12751692741332088,0.22092963888802689,0.23484326463812985,-0.02257984587060019,-0.0314748954289362
2025-08-21,KVIKA,KVIKA,Iceland,-0.02297604764188547,0.2911961694193662,-0.3386347341039608,-0.02337338716028431,-0.03714462484329655
2025-08-21,NOVA,NOVA,Iceland,0.03686251034892274,0.16076495543254415,-0.24116312730157569,-0.013340561345095842,-0.018985099745792905
2025-08-21,OLGERD,OLGERD,Iceland,0.20921858403744675,0.2133856878789147,0.626028369586418,-0.018744845357772322,-0.02582190482709984
2025-08-21,OMXI15,OMXI15,Iceland,-0.021507132061997686,0.18457910589574372,-0.5232903032962019,-0.01759970674967795,-0.026525944478847163
2025-08-21,PLAY,PLAY,Iceland,-1.0221486713684542,0.6490929223908323,-1.6912551705023688,-0.06051865994248137,-0.11128321024329163
2025-08-21,REITIR,REITIR,Iceland,0.06601768260760081,0.227731867120236,-0.04222249294981653,-0.02260197742187553,-0.028854529949112084
2025-08-21,SIMINN,SIMINN,Iceland,0.10447393291523062,0.21777724265299178,0.1324327684672377,-0.02111402146622271,-0.02787919528155095
2025-08-21,SJOVA,SJOVA,Iceland,0.08261179335058662,0.19544101022490584,0.03570746784936426,-0.018098709626748172,-0.028373903959025386
2025-08-21,SKAGI,SKAGI,Iceland,0.015507302118208905,0.23128753433723884,-0.25996121155261054,-0.022880187120091877,-0.03118934753924039
2025-08-21,SKEL,SKEL,Iceland,0.010688338103795325,0.2822388921383326,-0.2301056072240643,-0.030366710724491708,-0.039352981091620685
2025-08-21,SVN,SVN,Iceland,-0.1146004612566665,0.1748990511020309,-1.0876762899486712,-0.01707789174007532,-0.025635173279789154
2025-08-21,SYN,SYN,Iceland,-0.28424903168587173,0.28580329410670663,-1.2591951487901356,-0.027362586814674322,-0.044997974365838946
